trade_date,high,low,close,pct_chg
20110624,3047.94,2944.05,3027.47,2.36
20110623,2966.54,2888.68,2957.63,1.69
20110622,2921.03,2894.18,2908.58,-0.02
20110621,2909.57,2877.05,2909.07,1.19
20110620,2896.08,2862.41,2874.9,-0.6
20110617,2934.06,2891.02,2892.16,-0.87
20110616,2946.82,2915.4,2917.58,-1.54
20110615,2999.15,2963.11,2963.12,-1.02
20110614,3000.53,2943.53,2993.56,1.46
20110613,2957.52,2921.75,2950.35,-0.39
20110610,2964.08,2925.87,2961.93,0.34
20110609,3004.06,2951.89,2951.89,-1.89
20110608,3012.81,2965.92,3008.65,0.15
20110607,3006.57,2974.36,3004.26,0.6
20110603,2993.9,2951.2,2986.35,1.04
20110602,2984.49,2923.02,2955.71,-1.61
20110601,3006.56,2985.71,3004.17,0.09
20110531,3001.73,2946.15,3001.56,1.59
20110530,2982.58,2942.36,2954.51,-0.3
20110527,2996.61,2962.07,2963.31,-0.51
20110526,3021.2,2977.6,2978.38,-0.4
20110525,3030.99,2988.09,2990.34,-1.19
20110524,3029.75,2999.89,3026.22,0.11
20110523,3115.31,3021.45,3022.98,-3.16
20110520,3133.43,3113.27,3121.6,0.03
20110519,3154.94,3118.62,3120.64,-0.6
20110518,3145.7,3106.55,3139.38,0.75
20110517,3136.23,3076.95,3116.03,0.5
20110516,3137.6,3098.78,3100.46,-0.88
20110513,3128.44,3080.19,3128.09,0.85
20110512,3142.4,3101.14,3101.6,-1.38
20110511,3164.65,3127.49,3145.09,-0.26
20110510,3153.3,3121.75,3153.22,0.75
20110509,3149.94,3118.14,3129.76,0.27
20110506,3141.68,3083.91,3121.4,-0.15
20110505,3136.9,3105.85,3126.12,-0.09
20110504,3193.45,3120.96,3129.03,-2.56
20110503,3212.06,3164.93,3211.13,0.58
20110429,3193.6,3147.14,3192.72,0.98
20110428,3237.19,3160.41,3161.78,-1.49
20110427,3256.41,3189.04,3209.5,-0.66
20110426,3257.8,3216.21,3230.96,-0.57
20110425,3292.48,3247.69,3249.57,-1.53
20110422,3325.46,3291.64,3299.94,-0.53
20110421,3330.24,3301.94,3317.37,0.66
20110420,3311.73,3281.83,3295.76,0
20110419,3334.91,3290.74,3295.81,-1.89
20110418,3372.9,3335.6,3359.44,0.01
20110415,3378.11,3323.56,3358.94,0.16
20110414,3378.7,3347.49,3353.56,-0.55
20110413,3372.03,3296.51,3372.03,1.36
20110412,3350.16,3307.48,3326.77,-0.2
20110411,3380.53,3331.17,3333.43,-0.59
20110408,3353.89,3314.09,3353.36,0.87
20110407,3330.81,3302.82,3324.42,0.4
20110406,3315.3,3268.77,3311.07,1.17
20110401,3272.77,3220.91,3272.73,1.53
20110331,3264.96,3210.17,3223.29,-1.01
20110330,3274.98,3233.11,3256.08,-0.06
20110329,3309.2,3256.34,3257.98,-0.99
20110328,3328.07,3286.86,3290.57,-0.12
20110325,3304.26,3254.68,3294.48,1.33
20110324,3273.37,3250.02,3251.36,-0.42
20110323,3267,3216.65,3264.93,1.3
20110322,3227.8,3175.93,3222.96,0.49
20110321,3236.28,3194.15,3207.11,-0.27
20110318,3239.96,3205.14,3215.69,0.58
20110317,3240.38,3185.08,3197.1,-1.57
20110316,3250.88,3202.93,3248.2,1.38
20110315,3250.6,3147.96,3203.96,-1.81
20110314,3263.91,3230.11,3262.92,0.48
20110311,3290.7,3240.18,3247.38,-1
20110310,3330.44,3279.33,3280.26,-1.76
20110309,3355.49,3322.7,3338.86,0.04
20110308,3342.71,3311.72,3337.46,0.09
20110307,3337.47,3287.41,3334.51,1.95
20110304,3273.66,3217.48,3270.67,1.52
20110303,3271.64,3221.04,3221.72,-0.67
20110302,3257.42,3202.83,3243.3,-0.36
20110301,3273.51,3235.75,3254.89,0.47
20110228,3241.6,3178.83,3239.56,1.31
20110225,3213.79,3159.85,3197.62,0.21
20110224,3195.69,3157.97,3190.94,0.51
20110223,3182.19,3145.99,3174.74,0.35
20110222,3269.05,3161.83,3163.58,-2.9
20110221,3258.28,3189.85,3257.91,1.43
20110218,3242.37,3203.12,3211.88,-1.05
20110217,3265.26,3218.91,3245.91,-0.08
20110216,3248.85,3195.47,3248.53,0.96
20110215,3259.64,3215.62,3217.67,-0.05
20110214,3227.43,3123.25,3219.14,3.15
20110211,3133.5,3092.58,3120.96,0.54
